"Team","xG","Goals","xGA","Goals Conceded","Ball Possession (%)","Touches in Box","PPDA","Passes","Passing %","Long Passes","Passes to Final 3rd"
"Shenzhen Peng City","29.4","35","61.55","59","43.1","11.66","14.61","302.04","79.5","41.78","38.02"
"Beijing Guoan","60.2","69","44.43","46","63.1","20.49","8.12","472.51","87.2","37.79","51.19"
"Changchun Yatai","28.58","26","56.43","52","45.7","11.47","10.86","301.29","79.2","44.2","39.98"
"Chengdu Rongcheng","69.87","60","30.38","28","54.9","24.22","9.4","396.25","83.6","44.18","51.1"
"Dalian Young Boy","40.55","30","41.82","45","45.3","17.13","10.42","320.16","78.3","44.69","45.72"
"Henan","57.11","52","41.7","48","52.4","19.07","8.77","340.23","82.5","42.01","45.42"
"Meizhou Hakka","37.42","36","67.06","71","46.9","14.2","11.23","306.71","78.9","40.04","41.89"
"Qingdao Hainiu","42.2","35","57.84","48","48.8","13.26","9.94","343.27","81.8","40.23","39.91"
"Qingdao West Coast","44.4","39","46.53","43","48","14.45","9.17","306.29","79.3","43.91","44.17"
"Shandong Taishan","62.57","69","46.3","46","52.1","20.62","9.75","366.55","83.1","42.1","49.17"
"Shanghai Port","62.14","72","47.53","44","56.2","17.66","8.89","413.02","84.7","32.47","53.31"
"Shanghai Shenhua","64.57","67","29.62","35","52.5","22.39","9.28","378.48","83.4","42.29","50.06"
"Tianjin Tigers","40.04","40","47.98","41","48.4","10.98","12.17","336.46","81.6","45.56","40.12"
"Wuhan Three Towns","42.56","34","58.12","62","49.2","14.19","12.48","330.99","81.8","42.97","38.87"
"Yunnan Yukun","46.56","47","50","52","43.1","14","10.63","258.26","76.1","44.33","42.42"
"Zhejiang Professional","44.55","60","45.42","51","49.1","14.74","15.22","382.58","85.2","43.18","43.61"
